id;activite_soumise;adresse;nom;dep;bar_tabac;bureau_tabac;cave_cigare;tabac_presse;services;telephone;dep_name
41;buraliste;179 RUE BAGNOLET 75020 PARIS VOIR LE PLAN;LE VINGTIÈME;75;0;1;0;0;"";01 43 61 03 65;Paris
42;buraliste;2 BOULEVARD PICPUS 75012 PARIS VOIR LE PLAN;IRIS CAFE;75;0;1;0;0;"";01 43 43 82 57;Paris
43;buraliste;212 AVENUE JEAN JAURS 75019 PARIS VOIR LE PLAN;SNC DELMAS;75;0;1;0;0;"";01 42 49 76 02;Paris
44;buraliste;127 RUE ST ANTOINE 75004 PARIS VOIR LE PLAN;TABAC SAINT PAUL;75;0;1;0;0;"";01 42 71 17 06;Paris
45;buraliste;1 RUE MADEMOISELLE 75015 PARIS VOIR LE PLAN;LE CELTIC;75;0;1;1;0;bar & cigares & fdj & cigarettes électroniques & cave à cigares & carte téléphonique & ticket de transport & pile & ;01 48 28 00 17;Paris
46;buraliste;37 RUE LECOURBE 75015 PARIS VOIR LE PLAN;TABAC LECOURBE;75;0;1;0;0;pmu & cigares & fdj & cigarettes électroniques & tabac à pipe & articles pour fumeurs & articles pour vapoteurs & timbre poste & ;01 45 66 60 49;Paris
47;buraliste;43 RUE PETITS CHAMPS 75001 PARIS VOIR LE PLAN;TABAC DES PETITS CHAMPS;75;0;1;0;1;fdj & presse & relais colis & papeterie & carte d'anniversaire & carte postale & carte téléphonique & ;01 42 97 54 09;Paris
48;buraliste;2 RUE JEANNE DARC 75013 PARIS VOIR LE PLAN;LE JEANNE D'ARC;75;0;1;0;0;"";01 45 85 87 74;Paris
49;buraliste;21 BOULEVARD ST MICHEL 75005 PARIS VOIR LE PLAN;B'VAPE LA CORONA ST MICHEL;75;0;1;0;0;cigarettes électroniques & ;01 43 54 35 08;Paris
50;buraliste;98 RUE OURCQ 75019 PARIS VOIR LE PLAN;TABAS DE L'OURQ;75;0;1;0;0;"";01 40 35 16 95;Paris
51;buraliste;26 RUE LA REYNIE 75001 PARIS VOIR LE PLAN;NEW TABAC DE LA REYNIE;75;0;1;0;0;"";06 12 21 62 69;Paris
52;buraliste;66 RUE POMPE 75116 PARIS VOIR LE PLAN;TABAC DE LA MAIRIE;75;0;1;1;0;fdj & cigares & cave à cigares & cigarettes électroniques & ticket de transport & carte postale & stylo & confiseries & ;01 45 04 54 50;Paris
53;buraliste;12 RUE LEPIC 75018 PARIS VOIR LE PLAN;TABAC LEPIC;75;0;1;0;1;fdj & presse & cigares & cigarettes électroniques & carte postale & stylo & confiseries & carte téléphonique & ;01 42 51 01 07;Paris
54;buraliste;48 AVENUE GN MICHEL BIZOT 75012 PARIS VOIR LE PLAN;HAÏ FAN CHI;75;0;1;0;1;bar & presse & fdj & cigares & pmu & cigarettes électroniques & brasserie & confiseries & ;01 43 43 91 20;Paris
55;buraliste;2 RUE HAXO 75020 PARIS VOIR LE PLAN;LE CAMELIA;75;0;1;0;0;"";01 40 30 59 80;Paris
56;buraliste;67 COURS VINCENNES 75020 PARIS VOIR LE PLAN;LE VINCENNES LINA;75;0;1;0;0;"";"";Paris
57;buraliste;3 BOULEVARD SOULT 75012 PARIS VOIR LE PLAN;LA CIVETTE DORÉE;75;0;1;0;0;compte nickel & ;01 43 40 37 10;Paris
58;buraliste;242 0 0 242 AVENUE DAUMESNIL 75012 PARIS VOIR LE PLAN;CHEN JIE;75;0;1;1;0;fdj & cigarettes électroniques & cave à cigares & cigares & articles pour fumeurs & tabac à pipe & articles pour vapoteurs & timbre poste & ;01 43 43 72 24;Paris
59;buraliste;25 RUE TURENNE 75004 PARIS VOIR LE PLAN;CHRISTIAN CHEN;75;0;1;0;0;articles pour fumeurs & articles pour vapoteurs & briquet & carte postale & cigarettes électroniques & timbres fiscaux & timbre amende & recharge téléphonique & ;01 43 48 92 77;Paris
60;buraliste;87 RUE MONTMARTRE 75002 PARIS VOIR LE PLAN;CENTRE COMMERCIAL LE BABYLONE;75;0;1;1;0;fdj & cigares & cave à cigares & cigarettes électroniques & ticket de transport & stylo & confiseries & carte téléphonique & ;01 48 97 47 88;Paris
